[2020-02-11 14:49:49] DEBUG (airqualityService.AirqualityService_getIvstg - main:604) - mgtNo :DG2005E013
[2020-02-11 14:49:49] DEBUG (airqualityService.AirqualityService_getIvstg - main:604) - mgtNo :DG2006B001
[2020-02-11 14:49:49] DEBUG (airqualityService.AirqualityService_getIvstg - main:604) - mgtNo :DG2006C001
[2020-02-11 14:49:49] DEBUG (airqualityService.AirqualityService_getIvstg - main:604) - mgtNo :DG2006D001
[2020-02-11 14:49:49] DEBUG (airqualityService.AirqualityService_getIvstg - main:604) - mgtNo :DG2006E009
[2020-02-11 14:49:49] DEBUG (airqualityService.AirqualityService_getIvstg - main:604) - mgtNo :DG2006E010
[2020-02-11 14:49:49] DEBUG (airqualityService.AirqualityService_getIvstg - main:604) - mgtNo :DG2006E012
[2020-02-11 14:49:49] DEBUG (airqualityService.AirqualityService_getIvstg - main:604) - mgtNo :DG2007B001
[2020-02-11 14:49:49] DEBUG (airqualityService.AirqualityService_getIvstg - main:604) - mgtNo :DG2007B002
[2020-02-11 14:49:50] DEBUG (airqualityService.AirqualityService_getIvstg - main:604) - mgtNo :DG2007B003
[2020-02-11 14:49:50]  INFO (airqualityService.AirqualityService_getIvstg - main:661) - parsing complete!
[2020-02-11 14:50:21] DEBUG (airqualityService.AirqualityService_getIvstg - main:606) - mgtNo :DG2005E013
[2020-02-11 14:50:21] DEBUG (airqualityService.AirqualityService_getIvstg - main:606) - mgtNo :DG2006B001
[2020-02-11 14:50:21] DEBUG (airqualityService.AirqualityService_getIvstg - main:606) - mgtNo :DG2006C001
[2020-02-11 14:50:21] DEBUG (airqualityService.AirqualityService_getIvstg - main:606) - mgtNo :DG2006D001
[2020-02-11 14:50:22] DEBUG (airqualityService.AirqualityService_getIvstg - main:606) - mgtNo :DG2006E009
[2020-02-11 14:50:22] DEBUG (airqualityService.AirqualityService_getIvstg - main:606) - mgtNo :DG2006E010
[2020-02-11 14:50:22] DEBUG (airqualityService.AirqualityService_getIvstg - main:606) - mgtNo :DG2006E012
[2020-02-11 14:50:22] DEBUG (airqualityService.AirqualityService_getIvstg - main:606) - mgtNo :DG2007B001
[2020-02-11 14:50:22] DEBUG (airqualityService.AirqualityService_getIvstg - main:606) - mgtNo :DG2007B002
[2020-02-11 14:50:23] DEBUG (airqualityService.AirqualityService_getIvstg - main:606) - mgtNo :DG2007B003
[2020-02-11 14:50:23]  INFO (airqualityService.AirqualityService_getIvstg - main:663) - parsing complete!
[2020-02-11 14:53:38]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2005E013
[2020-02-11 14:53:38]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2005E013
[2020-02-11 14:53:39]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006B001
[2020-02-11 14:53:39]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006B001
[2020-02-11 14:53:40]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006C001
[2020-02-11 14:53:40]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006C001
[2020-02-11 14:53:40]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006C001
[2020-02-11 14:53:56]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006D001
[2020-02-11 14:53:56]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E009
[2020-02-11 14:53:57]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E009
[2020-02-11 14:53:57]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E010
[2020-02-11 14:53:58]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E010
[2020-02-11 14:53:59]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E012
[2020-02-11 14:53:59]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E012
[2020-02-11 14:54:00]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B001
[2020-02-11 14:54:00]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B001
[2020-02-11 14:54:01]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B002
[2020-02-11 14:54:01]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B002
[2020-02-11 14:54:01]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B002
[2020-02-11 14:54:02]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B003
[2020-02-11 14:54:02]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B003
[2020-02-11 14:54:02]  INFO (airqualityService.AirqualityService_getIvstg - main:661) - parsing complete!
[2020-02-11 15:02:25]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2005E013
[2020-02-11 15:02:26]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2005E013
[2020-02-11 15:02:26]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006B001
[2020-02-11 15:02:26]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006B001
[2020-02-11 15:02:27]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006C001
[2020-02-11 15:02:27]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006C001
[2020-02-11 15:02:27]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006C001
[2020-02-11 15:02:28]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006D001
[2020-02-11 15:02:28]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E009
[2020-02-11 15:02:29]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E009
[2020-02-11 15:02:29]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E010
[2020-02-11 15:02:30]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E010
[2020-02-11 15:02:31]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E012
[2020-02-11 15:02:31]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E012
[2020-02-11 15:02:31]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B001
[2020-02-11 15:02:32]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B001
[2020-02-11 15:02:32]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B002
[2020-02-11 15:02:33]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B002
[2020-02-11 15:02:33]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B002
[2020-02-11 15:02:34]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B003
[2020-02-11 15:02:34]  INFO (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B003
[2020-02-11 15:02:34]  INFO (airqualityService.AirqualityService_getIvstg - main:661) - parsing complete!
[2020-02-11 16:42:49] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2005E013
[2020-02-11 16:42:49] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006B001
[2020-02-11 16:42:49] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006C001
[2020-02-11 16:42:49] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006D001
[2020-02-11 16:42:49] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006E009
[2020-02-11 16:42:50] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006E010
[2020-02-11 16:42:50] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006E012
[2020-02-11 16:42:50] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2007B001
[2020-02-11 16:42:50] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2007B002
[2020-02-11 16:42:50] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2007B003
[2020-02-11 16:42:50]  INFO (airqualityService.AirqualityService_getStackStdr - main:331) - parsing complete!
[2020-02-11 16:48:29] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2005E013
[2020-02-11 16:48:29] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006B001
[2020-02-11 16:48:29] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006C001
[2020-02-11 16:48:29] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006D001
[2020-02-11 16:48:29] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006E009
[2020-02-11 16:48:30] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006E010
[2020-02-11 16:48:30] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2006E012
[2020-02-11 16:48:30] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2007B001
[2020-02-11 16:48:30] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2007B002
[2020-02-11 16:48:30] DEBUG (airqualityService.AirqualityService_getStackStdr - main:273) - mgtNo :DG2007B003
[2020-02-11 16:48:30]  INFO (airqualityService.AirqualityService_getStackStdr - main:331) - parsing complete!
[2020-02-11 16:50:30] DEBUG (airqualityService.AirqualityService_getStackStdr - main:275) - mgtNo :DG2005E013
[2020-02-11 16:50:30] DEBUG (airqualityService.AirqualityService_getStackStdr - main:275) - mgtNo :DG2006B001
[2020-02-11 16:50:30] DEBUG (airqualityService.AirqualityService_getStackStdr - main:275) - mgtNo :DG2006C001
[2020-02-11 16:50:30] DEBUG (airqualityService.AirqualityService_getStackStdr - main:275) - mgtNo :DG2006D001
[2020-02-11 16:50:30] DEBUG (airqualityService.AirqualityService_getStackStdr - main:275) - mgtNo :DG2006E009
[2020-02-11 16:50:30] DEBUG (airqualityService.AirqualityService_getStackStdr - main:275) - mgtNo :DG2006E010
[2020-02-11 16:50:31] DEBUG (airqualityService.AirqualityService_getStackStdr - main:275) - mgtNo :DG2006E012
[2020-02-11 16:50:31] DEBUG (airqualityService.AirqualityService_getStackStdr - main:275) - mgtNo :DG2007B001
[2020-02-11 16:50:31] DEBUG (airqualityService.AirqualityService_getStackStdr - main:275) - mgtNo :DG2007B002
[2020-02-11 16:50:31] DEBUG (airqualityService.AirqualityService_getStackStdr - main:275) - mgtNo :DG2007B003
[2020-02-11 16:50:31]  INFO (airqualityService.AirqualityService_getStackStdr - main:333) - parsing complete!
[2020-02-11 16:51:43] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2005E013
[2020-02-11 16:51:43] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006B001
[2020-02-11 16:51:43] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006C001
[2020-02-11 16:51:44] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006D001
[2020-02-11 16:51:44] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006E009
[2020-02-11 16:51:44] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006E010
[2020-02-11 16:51:44] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2006E012
[2020-02-11 16:51:44] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2007B001
[2020-02-11 16:51:44] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2007B002
[2020-02-11 16:51:44] DEBUG (airqualityService.AirqualityService_getStackStdr - main:277) - mgtNo :DG2007B003
