mgtNo|^stackNm|^adres|^xcnts|^ydnts|^stackHg|^stackDm|^stackIndm|^stackTp|^dgsnStdrPm10Val|^dgsnStdrPm25Val|^dgsnStdrNo2Val|^dgsnStdrSo2Val|^dgsnStdrCoVal|^dscamtPm10Val|^dscamtPm25Val|^dscamtNo2Val|^dscamtSo20Val|^dscamtCoVal
DG2007B002|^연돌제원|^|^|^|^100|^|^3.6|^|^|^|^|^|^|^|^|^|^|^
DG2008B002|^연돌|^|^|^|^15|^|^2|^|^|^|^|^|^|^2.2878|^|^1.3743|^1.9066|^
