mgtNo|^gmenoCo2Val|^gmenoCh4Val|^gmenoN2oVal|^gmenoOtrVal|^umenoCo2Val|^umenoCh4Val|^umenoN2oVal|^umenoOtrVal|^rm
GG2013E001|^|^|^|^1594.1|^|^|^|^866042.2|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2013E003|^|^|^|^57897.3|^|^|^|^24478.5|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
GG2013Q001|^3332.1|^2.8|^27.9|^3362.8|^|^|^|^571.8|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t
GG2014A001|^|^|^|^15456.94|^|^|^|^115251.64|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일
GG2014A002|^|^|^|^6910|^|^|^|^66930.69|^공사시 총 배출량 단위값 CO2 kg/일,운영시 총 배출량 단위값  CO2eq t/년
GG2014B001|^|^|^|^966.24|^|^|^|^97821.56|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2014B002|^|^|^|^1952.64|^|^|^|^68357.8|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
GG2014B005|^|^|^|^294.6|^|^|^|^3401650.06|^공사시 단위값  CO2 t/년,운영시 단위값  CO2eq t/년
GG2014B007|^|^|^|^6513.29|^|^|^|^21758.5|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년
GG2014B008|^|^|^|^425.035|^|^|^|^45437.319|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2014B009|^|^|^|^3170.56|^|^|^|^30200.73|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2014C001|^|^|^|^2246.2|^|^|^|^|^공사시 단위값 CO2eq t
GG2014E001|^2510.47|^2.77|^6.3|^2519.55|^|^|^|^9249.5|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2015A002|^580.049|^0.483|^1.55|^582.082|^|^|^|^56549.48|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2015A003|^109.86|^0.09|^0.28|^110.23|^1446.05|^2.71|^0.8|^1449.56|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2015B001|^|^|^|^|^|^|^|^583603.03|^운영시 그외 배출량 t CO2/년
GG2015B004|^|^|^|^5659.9|^|^|^|^352953.7|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2015B006|^4616|^3.9|^11.6|^|^|^|^|^231124.7|^운영시 이산화탄소 메탄 아산화질소  CO2eq/년
GG2015E002|^|^|^|^35228.449|^4291.19|^15.69|^322.16|^4629.04|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2015E003|^|^|^|^1689.6|^4327.8|^0.7|^0.8|^4590.5|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
GG2016B001|^|^|^|^7649.77|^|^|^|^23418.8|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
GG2016E001|^|^|^|^2098.12|^|^|^|^6285.5|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2007A016|^|^|^|^3550.5|^|^|^|^98.6|^공사시 그외 배출량는 t CO2
HG2008A003|^|^|^|^9029.4|^|^|^|^715.4|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일
HG2009B011|^|^|^|^4610.97|^|^|^|^57862.9|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
HG2010A002|^|^|^|^9029.4|^|^|^|^715.4|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일
HG2010A005|^|^|^|^384.3|^126896|^4.198|^0.58|^|^공사시 총 배출량 단위 값 CO2 t/운영시 CH4 N2O 단위값  CO2 t/년
HG2010A010|^|^|^|^2457.6|^|^|^|^485.5|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일
HG2010B005|^|^|^|^6.249|^|^|^|^184078.06|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2010B008|^|^|^|^4241.63|^|^|^|^198711.3|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2010B010|^|^|^|^4548|^|^|^|^590888.6|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2010B011|^379.18|^|^0.42|^379.6|^|^|^|^26228.18|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2010B014|^|^|^|^309|^|^|^|^2765.38|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2010E004|^|^|^|^|^|^|^|^88910|^운영시 총 배출량 단위값  CO2eq t/년
HG2011A003|^|^|^|^|^|^|^|^383260.1|^운영시 총 배출량 단위값  CO2eq t/년
HG2011A004|^|^|^|^2206|^|^|^|^275.616|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일
HG2011B001|^3172950|^2698|^7964|^3183612|^|^|^|^62712496|^공사시 총 배출량 단위값 CO2eq kg,운영시 총 배출량 단위값 CO2e kg/년/공사시 CO2 CH4 N2O 단위값 CO2eq kg
HG2011B002|^|^|^|^960.3|^|^|^|^357.975|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일
HG2011B003|^|^|^|^1544|^|^|^|^139338|^공사시 그외 배출량 t CO2e/년
HG2011B004|^703.21|^0.63|^3.1|^706.94|^|^|^|^16548.97|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2011B005|^|^|^|^6299.2|^|^|^|^217707.641|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2011B007|^|^|^|^2092.5|^|^|^|^126296|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
HG2011B008|^|^|^|^1242|^|^|^|^243207.91|^공사시 총 배출량 단위값  CO2 t/년,운영시 총 배출량 단위값  CO2eq t/년
HG2011E007|^|^|^|^138967.4|^42977.8|^42.6|^726.5|^|^공사시 총 배출량 단위값 CO2eq t
HG2011Z001|^|^|^|^2239.838|^|^|^|^9028.5034|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
HG2012A001|^|^|^|^|^|^|^|^1684840|^운영시 총 배출량 단위값  CO2eq t/년
HG2012A002|^|^|^|^1763.5|^|^|^|^791345.6|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t
HG2012A003|^|^|^|^2086.67|^|^|^|^111496.44|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2012A004|^|^|^|^4184|^|^|^|^37970.4|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2012B001|^1256|^1.8|^3.2|^1261|^|^|^|^36966.7|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2012B002|^|^|^|^2308.551|^|^|^|^242660.12|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2012B004|^|^|^|^4849.6|^|^|^|^386322.2|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
HG2012D003|^|^|^|^11779.62|^|^|^|^2545.97|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
HG2012D004|^|^|^|^58032.7|^|^|^|^|^공사시 그외 배출량 t CO2eq/년
HG2012E002|^|^|^|^86266|^|^|^|^33439.85|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2012E003|^|^|^|^95.4|^|^|^|^|^공사시 총 배출량 단위값 CO2eq t
HG2012E005|^2536.8|^3.2|^41.4|^|^|^|^|^14165.4|^운영시 총 배출량 단위값  CO2eq t/년
HG2012E006|^|^|^|^|^|^|^|^13927.1|^운영시 총 배출량 단위값  CO2eq t/년
HG2012E007|^|^|^|^1170.91|^|^193.4|^7.34|^7784.67|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년/운영시 CH4 N2O 단위값  CO2 t/년
HG2012J001|^909.9|^|^|^918.3|^|^|^|^2441.1|^공사시 단위값 CO2eq t /년,운영시 단위값 CO2e kg/년/공사시 CO2 단위값 CO2eq t/년
HG2013A001|^|^|^|^862.53|^|^|^|^92689.6|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2013A004|^|^|^|^4342.5|^|^|^|^95754.9|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
HG2013A007|^|^|^|^729.58|^|^|^|^128762.5|^공사시 총 배출량 단위값 CO2eq t /년,운영시 총 배출량 단위값  CO2eq t/년
HG2013A008|^|^|^|^1697.2|^|^|^|^110803.7|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t
HG2013B001|^|^|^|^10493.46|^|^|^|^58099.06|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
HG2013D001|^|^|^|^7140.37|^|^|^|^|^공사시 단위값  CO2 t/년
HG2014A001|^|^|^|^1697.2|^|^|^|^110803.7|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t
HG2014A002|^|^|^|^1586.12|^|^|^|^11115.2|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
HG2014B001|^1534.91|^1.26|^3.1|^1539.27|^|^|^|^13502.96|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
HG2014B003|^|^|^|^2711.1|^|^|^|^424526.31|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
HG2014D001|^|^|^|^9835.5|^|^|^|^|^
HG2014E001|^|^|^|^2446.7|^|^|^|^|^공사시 총 배출량 단위값 CO2eq t
HG2014E002|^|^|^|^4604.1|^|^|^|^1935.2|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
HG2014E003|^1.586|^0.001|^0.004|^|^10.44|^0.01|^0.39|^10.85|^운영시 총 배출량 단위값  CO2eq t/년/공사시 CO2 CH4 N2O 단위값 CO2eq t/일
HG2014E005|^|^|^|^1556.2|^|^|^|^6667.4|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
HG2014E006|^2339.1|^3|^|^2380.2|^|^|^|^14185.4|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2014E007|^|^|^|^149663.04|^|^|^|^463496.55|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2014E008|^|^|^|^90215|^33733|^21892.2|^29649.1|^20570|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
HG2015A001|^|^|^|^1455.03|^|^|^|^44648.534|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2015A002|^|^|^|^862.53|^|^|^|^84929.11|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2015A004|^|^|^|^1757.63|^|^|^|^43082.68|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2015A005|^1106.76|^1.11|^9.26|^1117.13|^|^|^|^2070.7|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
HG2015A008|^537.768|^|^|^542.88|^|^|^|^9503.68|^공사시 총 배출량 단위값 CO2eq t /년,운영시 총 배출량 단위값  CO2eq t/년/공사시 CO2 단위값 CO2eq t/년
HG2015B001|^|^|^|^7113|^|^|^|^92468.7|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
HG2015B002|^3432.3|^2.9|^28.7|^3463.9|^|^|^|^223297.2|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t
HG2015B003|^5.055|^0.004|^0.042|^3060.5|^|^|^|^182862.6|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년/공사시 CO2 CH4 N2O 단위값 CO2eq t/일
HG2015B004|^|^|^|^3605.4|^|^|^|^106295.08|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
HG2015B005|^|^|^|^2.633|^|^|^|^15278.91|^공사시 단위 값 CO2 t/일,운영시 단위값  CO2eq t/년
HG2015B006|^1080.4|^|^|^1084|^|^|^|^86319.31|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년/공사시 CO2 단위값 CO2eq t/년
HG2015B007|^|^|^|^152543.3|^|^|^|^12857.18|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
HG2015B009|^|^|^|^641.9|^|^|^|^119957.55|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
HG2015D001|^882.9|^|^|^891|^|^|^|^2441.1|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년/공사시 CO2 단위값 CO2eq t/년
HG2015E001|^5817.1|^4.9|^48.7|^5870.7|^27045.1|^11160|^16919.7|^55124.8|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2015E002|^|^|^|^2281.4|^|^|^|^28423.54|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2016A001|^|^|^|^|^|^|^|^34246.7|^운영시 총 배출량 단위값  CO2eq t/년
HG2016A002|^|^|^|^1639.415|^|^|^|^60958|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2016A003|^|^|^|^4021.01|^|^|^|^18937.72|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2016A004|^|^|^|^510.8|^|^|^|^1180|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
HG2016B002|^|^|^|^1205.71|^|^|^|^38545.2|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
HG2016B004|^|^|^|^3900246|^|^|^|^120575.08|^공사시 단위값 CO2eq kg,운영시 단위값  CO2eq t/년
JJ2010A001|^2702.04|^5329.8|^9430.2|^|^448.95|^361.35|^0.23|^369.15|^
JJ2010B001|^|^|^|^3859.2|^|^|^|^360.6|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일
JJ2010B002|^5747.9|^4.9|^14.4|^5767.2|^|^|^|^436392.9|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
JJ2010B003|^|^|^|^1083.8|^|^|^|^62788|^공사시 그외 배출량 t, 운영시 그외 배출량 t/년
JJ2010B005|^|^|^|^712.33|^|^|^|^173.75|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일
JJ2010E002|^9578.3|^9.2|^16.2|^|^160125.5|^182.5|^4015|^|^
JJ2010E004|^1174.5|^1.87|^3.32|^4406.08|^3547.1|^68.6|^2.8|^1073.2|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년/운영시 CH4 N2O 단위값  CO2eq t/hr
JJ2011A001|^|^|^|^241852|^|^|^|^45436|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
JJ2011B001|^|^|^|^360.666|^|^|^|^341413.027|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
JJ2011B007|^2010.4|^1.68|^6.2|^807.3|^|^|^|^34460.83|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년/공사시 CO2 CH4 N2O 단위값  CO2eq kg/일
JJ2011E001|^|^|^|^2853.4|^|^|^|^23118.6|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
JJ2012B001|^|^|^|^9217.6|^|^|^|^216767.65|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
JJ2012D001|^|^|^|^1024.2|^|^|^|^|^공사시 단위 값 CO2 t
JJ2012I007|^|^|^|^7563.14|^|^|^|^187360.6|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
JJ2013A001|^|^|^|^62090.1|^|^|^|^128693.8|^공사시 그외 배출량 t CO2eq/년
JJ2013B001|^|^|^|^941.85|^|^|^|^58722.6|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
JJ2013B002|^|^|^|^12679|^|^|^|^96601|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
JJ2013B003|^|^|^|^760.9|^|^|^|^47315.3|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
JJ2013I001|^|^|^|^7764.79|^|^|^|^|^공사시 단위값 CO2eq t
JJ2014B001|^|^|^|^9260.7|^|^|^|^36732645|^공사시 단위값 CO2eq t,운영시 단위값 CO2e kg/년
JJ2014B003|^265.55|^0.231|^2.17|^267.951|^|^|^|^1400438.26|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t
JJ2014B004|^|^|^|^911.5|^|^|^|^57961.7|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
JJ2014E001|^|^|^|^|^|^|^|^1158.03|^운영시 총 배출량 단위값  CO2eq t/년
JJ2014I001|^|^|^|^12890.26|^|^|^|^|^공사시 단위값 CO2eq t
JJ2014I002|^5124.6|^6.7|^66.3|^5171.9|^|^|^|^|^공사시 단위값 CO2eq t
JJ2014I003|^|^|^|^966.815|^|^|^|^|^공사시 단위값  CO2 t/년
JJ2015A001|^|^|^|^4839.69|^|^|^|^71910.65|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t
JJ2015B001|^|^|^|^223|^|^|^|^370027.4|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
JJ2015I001|^|^|^|^1845.74|^|^|^|^|^공사시 단위값 CO2eq t
ME2008A078|^|^|^|^43551.7|^86004.8|^6|^8.9|^|^공사시  t CO2e/년
ME2009A007|^3346|^2.8|^8.4|^|^|^|^|^107978|^공사시 그외 배출량 t CO2eq/년
ME2009A044|^7362.9|^10.6|^18.7|^|^|^|^|^348680.6|^
ME2010A002|^|^|^|^3241.4|^|^|^|^152.4|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일
ME2010A003|^|^|^|^4789|^|^|^|^29768|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
ME2010A004|^|^|^|^1930|^|^|^|^46630|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
ME2010A005|^7474.92|^10.7163|^18.9906|^7504.627|^|^|^|^129549.5|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
ME2010A006|^64275.8|^92.1|^163.2|^|^|^|^|^5258.5|^운영시 그외 배출량 t CO2/일
ME2010C005|^|^|^|^1.738|^|^|^|^2659.765|^공사시 그외 배출량 천t CO2/전기간, 운영시 천t CO2/년
ME2010C006|^|^|^|^257.602|^|^|^|^1065289|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2010E001|^205628.2|^197.8|^4042|^|^|^|^|^|^
ME2011A002|^|^|^|^1410|^|^|^|^44210|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
ME2011A003|^960.699|^|^|^1747.4|^74315.919|^5.092|^0.145|^154221|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년/공사시 CO2 단위값  CO2 t 운영시 CH4 N2O 단위값  CO2 t/년
ME2011A004|^3390.8|^4.9|^8.6|^3404.3|^|^|^|^|^
ME2011A005|^|^|^|^1629.239|^|^|^|^104142.174|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
ME2011C004|^|^|^|^1383.5|^|^|^|^2627612|^공사시 그외 배출량 t CO2, 운영시 그외 배출량 t CO2/y
ME2011C005|^|^|^|^1271.65|^|^|^|^|^공사시 단위값 CO2eq t
ME2011C009|^|^|^|^347.1|^|^|^|^4396470|^공사시 단위값  CO2 t/년,운영시 단위값  CO2eq t/년
ME2011C012|^|^|^|^|^|^|^|^16750290|^운영시 총 배출량 단위값  CO2eq t/년
ME2011C014|^|^|^|^4.537|^|^|^|^14948021|^공사시 단위 값 CO2 t/일,운영시 단위값  CO2eq t/년
ME2011C015|^|^|^|^1442.3|^|^|^|^880066.33|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2011C016|^|^|^|^257.602|^|^|^|^946087.5|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2011C017|^|^|^|^2096.7|^|^|^|^4016774|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
ME2011C018|^|^|^|^1442.3|^|^|^|^880066.33|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2011C019|^|^|^|^432.1|^|^|^|^2818000|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2011C020|^|^|^|^3788.1|^|^|^|^16835.7|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2011C021|^|^|^|^565.8|^|^|^|^310.2|^공사시 단위값 CO2eq t,운영시 단위값 CO2eq t/hr
ME2011E005|^|^|^|^139280.26|^|^|^|^306731.7|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
ME2011E006|^|^|^|^339933|^|^|^|^116339|^
ME2011E007|^|^|^|^63755|^|^|^|^193147|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
ME2012B001|^5128|^0.208|^0.042|^|^|^|^|^775963|^
ME2012C001|^|^|^|^49.5|^|^|^|^12902.8|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
ME2012C002|^|^|^|^2968.3|^|^|^|^2149329.3|^공사시 단위값  CO2 t/년,운영시 단위값  CO2eq t/년
ME2012C003|^|^|^|^439|^|^|^|^896404|^공사시 단위값  CO2 t/년,운영시 단위값  CO2eq t/년
ME2012C004|^|^|^|^627.7|^|^|^|^1268923.95|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2012C005|^|^|^|^149.54|^59.803|^0|^0|^|^공사시 단위값 CO2eq t/운영시  CO2 CH4 N2O 단위값   CO2 t/d
ME2012C006|^|^|^|^92.73|^|^|^|^4291790|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
ME2012C007|^7650.069|^6510|^19220|^|^|^|^|^|^공사시 CO2e kg
ME2012C008|^|^|^|^3.36|^|^|^|^|^공사시 단위값 CO2eq t/일
ME2012C013|^|^|^|^760|^|^|^|^1524952|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2012C015|^|^|^|^156|^|^|^|^291070.69|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
ME2012C016|^106.05|^0.09|^0.27|^106.41|^|^|^|^12749.28|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2012E001|^|^|^|^684653.8|^|^|^|^235794.84|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
ME2012E005|^|^|^|^|^|^|^|^13600.57|^운영시 총 배출량 단위값  CO2eq t/년
ME2012E009|^|^|^|^306120|^|^|^|^138538.8|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
ME2012E010|^|^|^|^|^|^|^|^215911.3|^운영시 총 배출량 단위값  CO2eq t/년
ME2012E011|^|^|^|^261486|^|^|^|^56390.3|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
ME2013A001|^|^|^|^2254.7|^|^|^|^16076.8|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
ME2013A006|^|^|^|^2254.7|^|^|^|^16076.8|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
ME2013C001|^|^|^|^502.2|^|^|^|^2725243|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2013C003|^|^|^|^4661.73|^|^|^|^8511394.7|^공사시 그외 배출량 t CO2, 운영시 t CO2/년
ME2013C004|^|^|^|^29.852|^|^|^|^|^공사시 단위값 CO2eq t
ME2013C005|^|^|^|^439|^|^|^|^896404|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
ME2013C006|^|^|^|^541728|^|^|^|^1490518.73|^공사시 단위값  CO2 t/년,운영시 단위값  CO2eq t/년
ME2013C007|^|^|^|^84|^|^|^|^13811.9|^공사시 단위값  CO2 t/년,운영시 단위값  CO2eq t/년
ME2013C008|^|^|^|^359.546|^|^|^|^190331.7|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t
ME2013C009|^|^|^|^701.986|^|^|^|^1181743.387|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년
ME2013C010|^|^|^|^10|^|^|^|^1067437|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2013C011|^|^|^|^347.1|^|^|^|^4396470|^공사시 단위값  CO2 t/년,운영시 단위값  CO2eq t/년
ME2013C013|^|^|^|^2.273|^|^|^|^17737.6|^공사시 단위 값 CO2 t/일,운영시 단위값  CO2eq t/년
ME2013C015|^|^|^|^446.3|^|^|^|^4071788|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2013C016|^|^|^|^20747.2|^|^|^|^15308653.8|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2013C017|^|^|^|^347.1|^|^|^|^591663|^공사시 단위값  CO2 t/년,운영시 단위값  CO2eq t/년
ME2013C018|^|^|^|^289.4|^|^|^|^1281515|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
ME2013C019|^|^|^|^774.6|^|^|^|^1887933|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2013C020|^|^|^|^679.65|^|^|^|^697988.58|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년
ME2013C021|^|^|^|^16193|^|^|^|^15737000|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
ME2013E001|^|^|^|^8003.5|^|^|^|^531653.8|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
ME2013E002|^|^|^|^104020|^|^|^|^20162|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
ME2013E003|^|^|^|^286901|^|^|^|^103687|^공사시 그외 배출량 는 t CO2
ME2014A002|^|^|^|^380.5|^|^|^|^|^공사시 그외 배출량 t CO2eq/년
ME2014A003|^|^|^|^959.12|^|^|^|^85231.76|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
ME2014C001|^299.1|^0.3|^0.8|^300.2|^478161.5|^5369.7|^264.2|^483795.5|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2014C003|^|^|^|^112|^|^|^|^41456|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2014C005|^264.8|^0.2|^0.7|^265.7|^272362.5|^102|^150.5|^272614.9|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
ME2014C006|^42197|^1.7|^0.3|^|^|^|^|^7595043|^공사시_이산화탄소 메탄 아산화질소 kg/일, 운영시 톤/년
