mgtNo|^gmenoCo2Val|^gmenoCh4Val|^gmenoN2oVal|^gmenoOtrVal|^umenoCo2Val|^umenoCh4Val|^umenoN2oVal|^umenoOtrVal|^rm
YS2011E002|^|^|^|^81213|^|^|^|^11675.5|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
YS2011E004|^|^|^|^46183.1|^|^|^|^918712.3|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
YS2012A001|^|^|^|^6124.2|^|^|^|^85.31|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일
YS2012A002|^|^|^|^23227.4|^|^|^|^51.97|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일
YS2012B001|^|^|^|^576|^|^|^|^137041.5|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
YS2012B002|^1790.03|^1.52|^4.49|^|^|^|^|^27306849.2|^공사시 이산화탄소 메탄 아산화질소 CO2e,kg/d, 운영시 그외 배출량 CO2e,kg/년
YS2012B004|^12399.6|^11|^32.4|^12942.9|^|^|^|^63351.65|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
YS2012B008|^|^|^|^13431|^|^|^|^275926.2|^공사시 CO2ekg, 운영시 CO2e t/년
YS2012B011|^4943255|^4203|^12408|^|^|^|^|^718595310.35|^공사시 이산화탄소 메탄 아산화질소 kg/년, 운영시 CO2e kg/년
YS2012B012|^|^|^|^841.83|^|^|^|^82987.1|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
YS2012B013|^3794.9|^3.2|^9.5|^3807.6|^|^|^|^228600.8|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
YS2012B014|^|^|^|^2530.8|^|^|^|^146461.4|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
YS2012B015|^|^|^|^79499.7|^|^|^|^1692737.2|^공사시 그외 배출량 t CO2, 운영시 그외 배출량 t CO2eq
YS2012B020|^|^|^|^576|^|^|^|^137041.5|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
YS2012D001|^|^|^|^3002.9|^|^|^|^570198.9|^공사시 단위값 CO2 kg/일,운영시 단위값 CO2 kg/일
YS2012D004|^|^|^|^456036.4|^|^|^|^|^공사시 단위값 CO2eq kg/년
YS2013B001|^4424.65|^|^|^4440.65|^|^|^|^105111.475|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년/공사시 CO2 단위값  CO2 t
YS2013B002|^2693.2|^2.3|^6.8|^2702.3|^|^|^|^144685.8|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
YS2013D001|^|^|^|^7330.87|^|^|^|^100636.53|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
YS2013D003|^13882.4|^27.6|^116.2|^14026.2|^|^|^|^|^공사시 단위값 CO2eq t
YS2013D005|^|^|^|^563|^|^|^|^|^공사시 그외 배출량 t CO2eq/년
YS2013E001|^|^|^|^53686|^|^|^|^10599.38|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
YS2013E004|^|^|^|^141665|^|^|^|^478.7|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
YS2014E001|^|^|^|^2281.4|^|^|^|^28423.54|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
YS2014E003|^|^|^|^4264.7|^|^|^|^3101.9|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
YS2014E004|^|^|^|^93771.8|^|^|^|^2976|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
YS2015A002|^|^|^|^2687.4|^|^|^|^28502.49|^공사시 총 배출량 단위값 CO2eq t /년,운영시 총 배출량 단위값  CO2eq t/년
YS2015A003|^5163.6|^4.4|^13|^5181|^|^|^|^95908.9|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
YS2015B002|^1325.05|^1.46|^21.62|^1348.13|^|^|^|^|^공사시 단위값 CO2eq t
YS2015B003|^|^|^|^10121.4|^|^|^|^122878|^공사시 단위값  CO2 t/년,운영시 단위값  CO2eq t/년
YS2015B004|^|^|^|^10121.4|^|^|^|^41369|^공사시 그외 배출량 t CO2/년
YS2015B005|^|^|^|^3572.7|^|^|^|^122878|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년
YS2015B006|^|^|^|^10121.4|^|^|^|^122878|^공사시 단위값  CO2 t/년,운영시 단위값  CO2eq t/년
YS2015B009|^|^|^|^3497.14|^|^|^|^63477.14|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년
YS2015B010|^|^|^|^383|^|^|^|^40342.71|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
YS2015B011|^|^|^|^2971.79|^|^|^|^610191.5|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년
YS2015B012|^|^|^|^3470.13|^|^|^|^414490.2|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년
YS2015B013|^|^|^|^1558.95|^|^|^|^95850.1|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년
YS2015B014|^|^|^|^1519.93|^|^|^|^114972.5|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년
YS2015D001|^|^|^|^1357.51|^|^|^|^|^공사시 단위 값 CO2 t
YS2015D002|^|^|^|^662.85|^|^|^|^|^공사시 단위값  CO2eq kg/일
YS2015D005|^|^|^|^256322.54|^|^|^|^|^공사시 단위값 CO2eq kg
YS2015E001|^|^|^|^94034.66|^|^|^|^15021.77|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
YS2015K002|^|^|^|^235.26|^|^|^|^|^공사시 그외 배출량 t CO2
YS2015M001|^|^|^|^747.5|^|^|^|^654.64|^공사시 총 배출량 단위값  CO2eq kg/일,운영시 총 배출량 단위값  CO2eq t/년
YS2016B004|^|^|^|^20668.36|^|^|^|^23179.226|^공사시 단위값 CO2 kg/일,운영시 단위값  CO2eq t/년
YS2016B006|^|^|^|^2876.484|^|^|^|^433235.637|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
mgtNo|^gmenoCo2Val|^gmenoCh4Val|^gmenoN2oVal|^gmenoOtrVal|^umenoCo2Val|^umenoCh4Val|^umenoN2oVal|^umenoOtrVal|^rm
