mgtNo|^seawaterFlowModel|^bfeSusDffAr|^aftSusDffAr|^bfeSusDffLt|^aftSusDffLt|^rm
DG2007D004|^연직적분 2차원확산모형|^0.330975|^0.136575|^|^|^
DG2009B013|^ 수치계산을 위해서 Leendertse(1971)에 의해 조류 확산 계산에 응용되어 현재 널리 사용되고 있는 ADI법(Alternating Direction Implicit method)을 사용하였다. ADI법은 양해법(explicit method)과 음해법 (implicit method)을 동시에 사용하여 계산하는 방식|^0.102403|^0.062456|^1.257|^1.073|^
